,dataSetName,TSid,lat,lon,seasonality_array,season,units,archive,PSM,Corr_prior,Corr_recon,Corr_diff
68,Leconte.Hubbs.1960,OLS_Rt3bq8OIkfc,33.33,244.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.40674492128509454,0.5259874440308062,0.11924252274571168
69,Isle.Hickman.1981,OLS_RvAYM4Zh3Pk,52.62,245.57,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.5305220197281463,0.8607093251799315,1.3912313449080778
70,Tigalmamine.Lamb.MS,OLS_RTKjwB4I61Z,32.9,354.65,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.24377487841008694,0.1702475009726078,0.4140223793826947
71,Poukawa.Mcglone.1978,OLS_RE8t9IMfyob,-39.77,176.73,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.6261161059761543,-0.6506266259806791,-0.024510520004524805
72,Cahaba.Delcourt.1983,OLS_RhSooYiv8NM,33.5,273.47,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.7969773275653304,0.6952968308126763,-0.101680496752654
73,Bilma.Faure.1966,OLS_RPARZQXyu1l,18.75,13.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.7627904843127024,0.7549299127877798,-0.007860571524922588
74,Keilambete.Bowler.1970,OLS_Rwm0onKGDHv,-38.04,142.87,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.8674292667745336,-0.22740714308640636,0.6400221236881272
75,Tauca.Servant.1978,OLS_R4P4Wwpe8Jd,-19.5,292.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.671239758421237,0.6585258487359399,-0.012713909685297065
76,Moore.Schweger.1983,OLS_RwLxfQP11eP,53.0,249.5,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.9222715878277224,0.9298078069786233,1.8520793948063456
77,EmeraldLakeLeadville.Shuman.2014,pdRfvT1wuHIGXRlmUju,39.151,253.594,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,-0.9216355658492508,-0.8936999864496298,0.02793557939962099
78,George.Hutchinson.1981,OLS_Ree2SxMXXUS,43.52,286.35,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.6659806330853738,0.7961971505674622,0.1302165174820884
79,LaGuitarra.Melief.1985,OLS_RusPjLSBZcB,3.87,286.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.002456073240442405,0.2442458073808509,0.24670188062129328
80,OwascoLake.Dwyer.1996,pdR95vmKthSzyI9ntp3,42.75,282.5,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,0.7538685525304232,0.902053763338464,0.1481852108080408
81,Tanganyika.Hecky.1973,OLS_RvTeu3ziD24,-6.03,28.53,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.5299761344178223,0.6077036971232134,1.1376798315410357
82,ElGobernador.Meleif.1985,OLS_R91mklW7AkS,3.85,285.65,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.6325520797391084,-0.15990529127040004,-0.7924573710095084
83,Fuquene.Van.1973,OLS_Rbr7K7EZgsy,5.5,286.25,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.6723136245859881,0.15274530791967705,0.8250589325056652
84,LittleWindyHillPond.Pribyl.2014,pdRkoO11xxFGVWJeL62,41.43,253.66,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,-0.8457899025229008,-0.7231289565889486,0.12266094593395216
85,Urmia.Kelts.1986,OLS_RnQ2dbxrFsX,37.63,45.5,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.669099414148988,-0.18173383402293583,0.48736558012605213
86,Russell.Hubbs.1965,OLS_R28mFojQksk,38.05,241.23000000000002,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.7618456707249498,0.750435156729218,-0.011410513995731786
87,Alexandersfontein.Butzer.1973,OLS_RrOZmMhgLUP,-28.83,24.8,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.5957827084624724,0.5557187437424044,-0.04006396472006801
88,Mendota.Winkler.1983,OLS_Rxv9LmnnQsQ,43.1,270.58,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.5750969394343697,0.7042025739317042,0.12910563449733448
89,MobutuSeseSeko.Harvey.1976,OLS_R0IYyZ8sKNw,1.5,31.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.43109359151846216,0.3462260525852417,0.7773196441037038
90,RiceLakeWestBasin.Yu.1994,pdRyrnRCmOiv8zpgLvf,44.11,281.7,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,0.6578876888048524,0.6802132393913256,0.02232555058647323
91,MagadiNatron.Butzer.1972,OLS_Rl1U1UXxAIf,-2.12,36.04,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.3826580586179209,-0.0833284575853639,0.299329601032557
92,Wedge.Macdonald.1982,OLS_RtESqFQmPOU,50.87,244.82999999999998,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.08220538516511237,0.7164194070764156,0.6342140219113033
93,SevierLake.Oviatt.1988,pdRYwqALFxQB0DnOiiQ,39.0,247.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,Shoreline,get_LakeStatus,0.6121974160517767,0.5513065317384082,-0.06089088431336853
94,Okoboji.Dodd.1968,OLS_R4a8rMDILX2,43.33,264.8,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.4179202429034696,0.568960648945276,0.9868808918487455
95,Searles.Stuiver.1964,OLS_RfD6MNlONoM,35.6,242.3,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.6160149766779438,0.6375699552496,0.021554978571656225
96,Chad.Servant.1973,OLS_Raj0ajWk8Z1,13.0,14.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.8501942526021775,0.8609496968568379,0.010755444254660351
97,Lunkaransar.Singh.1972,OLS_REKcgVZxfZQ,28.5,73.75,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.6306889277924824,0.7671444985011723,0.13645557070868986
98,Hay.Jacobs.1983,OLS_R9wwlYbD32V,34.0,250.5,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.9152249917032144,-0.9449815584564903,-0.02975656675327598
99,LakeOPines.Ewing.2000PaleoDIVER,pdRn4uVv5xmEy3QbRZo,46.14,270.75,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,-0.7865089341820766,0.5169869678418985,1.303495902023975
100,Jacob.Jacobs.1983,OLS_REuK7XDcRTY,34.42,249.17000000000002,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.12030426993550894,0.27929165037080794,0.158987380435299
101,Washburn.Winkler.1985c,OLS_RXKCFWVRanL,43.53,270.35,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.47455823290880644,0.9100760289545157,0.4355177960457092
102,FortRock.Bedwell.1970,OLS_RHt0P2iCpt5,43.17,239.25,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.7480182121450119,0.172822891620188,-0.5751953205248239
103,UpperBigCreekLake.Shuman.2015,pdRopkg65IV11NRNtq6,40.91,253.38,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,-0.22767372952916967,-0.27333630444127777,-0.045662574912108095
104,ArdElAkhdar.Pachur.1984,OLS_R5sFsSYnjHw,23.18,26.03,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.45413936625033147,0.4123104354603521,-0.041828930789979346
105,DaliLake.GoldsmithJiang.2017,WEB40d3e7b3,43.4318,116.7051,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,Shoreline,get_LakeStatus,0.7425955577997281,0.7304669016282437,-0.012128656171484398
106,AlmoraLakeParkersPrairie.Digerfeldt.1992,pdRdEGWYw7cNROLp8sM,46.21,264.7,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,0.1713453550996541,0.4340329458736968,0.2626875907740427
107,Bosumtwi.Shanahan.2006,WEB25059875,6.5,1.4167,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,Shoreline,get_LakeStatus,-0.3778134605135004,-0.298462590997735,0.07935086951576542
108,Bebedero.Gonzalez.1983,OLS_R4idEFGElHM,-33.33,293.25,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.09595504812332302,0.25590544883313276,0.15995040070980976
109,Kivu.Olsson.1959,OLS_R4Ijw8OPsjM,-2.0,29.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.2457245923199494,0.6737122372014896,0.4279876448815403
110,Walker.Hevly.1985,OLS_RzqaAnmlHbH,35.5,248.32999999999998,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.3433224007620115,0.46431116814058965,0.12098876737857817
111,Zeribar.Van.1963,OLS_R14ZgdIg3vP,35.53,46.12,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.6635068150093621,0.02129743425113066,0.6848042492604928
112,ZiwayShala.Grove.1975,OLS_RRO1Ic9Qv3B,7.75,38.67,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.14126783851391667,0.5380269553384234,0.3967591168245067
113,Bonneville.Broecker.1958,OLS_RLueiGtvS3m,40.5,247.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.8294880473575741,0.7522369230335788,-0.07725112432399528
